cnum,x,y
1055,5927,5181
1056,5927,5180
1057,5925,5180
1058,5925,5181
1059,5923,5181
1060,5923,5182
1061,5921,5182
1062,5921,5181
1063,5922,5181
1064,5922,5180
1065,5921,5180
1066,5921,5179
1067,5920,5179
1068,5920,5182
1069,5918,5182
1070,5918,5183
1071,5916,5183
1072,5916,5184
1073,5915,5184
1074,5915,5183
1075,5914,5183
1076,5914,5185
1077,5913,5185
1078,5913,5183
1079,5912,5183
1080,5912,5184
1081,5909,5184
1082,5909,5185
1083,5908,5185
1084,5908,5184
1085,5907,5184
1086,5907,5185
1087,5905,5185
1088,5905,5186
1089,5904,5186
1090,5904,5185
1091,5903,5185
1092,5903,5186
1093,5902,5186
1094,5902,5185
1095,5900,5185
1096,5900,5186
1097,5899,5186
1098,5899,5187
1099,5900,5187
1100,5900,5188
1101,5899,5188
1102,5899,5189
1103,5900,5189
1104,5900,5190
1105,5899,5190
1106,5899,5189
1107,5898,5189
1108,5898,5188
1109,5897,5188
1110,5897,5189
1111,5896,5189
1112,5896,5188
1113,5895,5188
1114,5895,5189
1115,5894,5189
1116,5894,5188
1117,5895,5188
1118,5895,5187
1119,5892,5187
1120,5892,5188
1121,5891,5188
1122,5891,5189
1123,5890,5189
1124,5890,5188
1125,5891,5188
1126,5891,5187
1127,5888,5187
1128,5888,5188
1129,5887,5188
1130,5887,5189
1131,5886,5189
1132,5886,5188
1133,5885,5188
1134,5885,5189
1135,5884,5189
1136,5884,5190
1137,5882,5190
1138,5882,5191
1139,5881,5191
1140,5881,5189
1141,5878,5189
1142,5878,5191
1143,5877,5191
1144,5877,5188
1145,5879,5188
1146,5879,5187
1147,5876,5187
1148,5876,5189
1149,5875,5189
1150,5875,5191
1151,5876,5191
1152,5876,5192
1153,5875,5192
1154,5875,5191
1155,5874,5191
1156,5874,5188
1157,5873,5188
1158,5873,5189
1159,5870,5189
1160,5870,5190
1161,5869,5190
1162,5869,5189
1163,5870,5189
1164,5870,5188
1165,5865,5188
1166,5865,5189
1167,5866,5189
1168,5866,5190
1169,5867,5190
1170,5867,5191
1171,5866,5191
1172,5866,5192
1173,5865,5192
1174,5865,5191
1175,5866,5191
1176,5866,5190
1177,5865,5190
1178,5865,5189
1179,5864,5189
1180,5864,5191
1181,5862,5191
1182,5862,5192
1183,5861,5192
1184,5861,5191
1185,5862,5191
1186,5862,5190
1187,5863,5190
1188,5863,5189
1189,5862,5189
1190,5862,5188
1191,5861,5188
1192,5861,5189
1193,5858,5189
1194,5858,5191
1195,5857,5191
1196,5857,5189
1197,5854,5189
1198,5854,5190
1199,5856,5190
1200,5856,5191
1201,5854,5191
1202,5854,5190
1203,5853,5190
1204,5853,5189
1205,5850,5189
1206,5850,5191
1207,5849,5191
1208,5849,5189
1209,5848,5189
1210,5848,5190
1211,5843,5190
1212,5843,5191
1213,5845,5191
1214,5845,5192
1215,5843,5192
1216,5843,5191
1217,5842,5191
1218,5842,5192
1219,5841,5192
1220,5841,5193
